name_a_an,price_a_an,adress_a_an,url_image_a_an
Canard de barbarie,12 000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5769889_uploaded_image1_1770826381.jpg
Taureau 300 kg,750 000,"Matam, Sénégal",https://images.coinafrique.com/thumb_5737439_uploaded_image1_1769181361.jpg
Oiseaux exotiques,Prix sur demande,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5716215_uploaded_image1_1768207752.jpg
Scottish Fold,720 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5673757_uploaded_image1_1765819078.jpg
Chaton,750 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5673754_uploaded_image1_1765818969.jpg
Chaton Persan,650 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5673747_uploaded_image1_1765818767.jpg
British Long Hair Blue,750 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5673744_uploaded_image1_1765818608.jpg
Chaton,750 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5673743_uploaded_image1_1765818498.jpg
Auqarium 110 litre et couple de tortue,50 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5672207_uploaded_image1_1765734200.jpg
Chatons,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5671561_uploaded_image1_1765674851.jpg
Perroquets rose gorge ,40 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5668046_uploaded_image1_1765474059.jpg
Taureau,2 500 000,"Fatick, Sénégal",https://images.coinafrique.com/thumb_5634272_uploaded_image1_1763756384.jpg
Bœuf,650,"Bambey, Sénégal",https://images.coinafrique.com/thumb_5632019_uploaded_image1_1763646437.jpg
Bœuf,725,"Bambey, Sénégal",https://images.coinafrique.com/thumb_5632012_uploaded_image1_1763646301.jpg
Vache,350 000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5587581_uploaded_image1_1761220550.jpg
Bœufs,Prix sur demande,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5577776_uploaded_image1_1760656718.jpg
Œuf à couver,Prix sur demande,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5570463_uploaded_image1_1760280696.jpg
Perroquets perruches ondulées,25 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5560070_uploaded_image1_1759698099.jpg
Pintades,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5547215_uploaded_image1_1759069446.jpg
Grand Bouc Hijazi ,1 200,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_5547149_uploaded_image1_1759064910.jpg
Chat Persan chinchilla ,170 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5543922_uploaded_image1_1758835732.jpg
Taureau métis d'insémination,2 500 000,"Fatick, Sénégal",https://images.coinafrique.com/thumb_5543760_uploaded_image1_1758829182.jpg
Taureau métis,2 500 000,"Fatick, Sénégal",https://images.coinafrique.com/thumb_5538746_uploaded_image1_1758579115.jpg
Angora turc-chat,Prix sur demande,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5536029_uploaded_image1_1758435597.jpg
Calopsite élégante ,75 000,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5530646_uploaded_image1_1758128661.jpg
Chaton Chartreux,100 000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5523792_uploaded_image1_1757773181.jpg
Oies toulouse ,Prix sur demande,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5520138_uploaded_image1_1757590578.jpg
Cailles et œufs de caille,3 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5514762_uploaded_image2_1757337112.jpeg
Chats ,Prix sur demande,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5512934_uploaded_image1_1757238653.jpg
